+---------+-------+-----------+--------+-----------+------------+
|hall_name|session|seat_number|seat_row|seat_markup|is_available|
|Hall 1207|672    |17         |1       |50         |true        |
|Hall 1207|672    |11         |6       |20         |true        |
|Hall 1207|672    |3          |2       |10         |true        |
|Hall 1207|672    |3          |3       |20         |true        |
|Hall 1207|672    |8          |1       |50         |true        |
|Hall 1498|673    |4          |8       |30         |true        |
|Hall 1498|673    |7          |3       |50         |true        |
|Hall 1498|673    |12         |9       |30         |true        |
|Hall 1498|673    |11         |10      |50         |true        |
|Hall 1498|673    |4          |6       |50         |true        |
|Hall 1498|673    |5          |1       |10         |true        |
|Hall 1498|673    |16         |9       |50         |true        |
|Hall 1498|673    |11         |9       |10         |true        |
|Hall 1498|673    |11         |7       |30         |true        |
|Hall 1781|674    |11         |9       |10         |true        |
|Hall 1781|674    |16         |6       |30         |true        |
|Hall 1781|674    |9          |3       |50         |true        |
|Hall 1781|674    |10         |9       |50         |true        |
|Hall 1781|674    |19         |7       |20         |true        |
|Hall 140 |675    |20         |10      |30         |true        |
|Hall 140 |675    |15         |8       |20         |true        |
|Hall 140 |675    |6          |2       |50         |true        |
|Hall 58  |676    |17         |3       |20         |true        |
|Hall 58  |676    |20         |10      |50         |true        |
|Hall 58  |676    |17         |8       |30         |true        |
|Hall 58  |676    |12         |3       |20         |true        |
|Hall 58  |676    |15         |2       |10         |true        |
|Hall 58  |676    |8          |8       |20         |true        |
|Hall 1444|677    |19         |7       |10         |true        |
|Hall 1444|677    |4          |2       |10         |true        |
|Hall 1444|677    |2          |10      |10         |true        |
|Hall 1444|677    |4          |5       |20         |true        |
|Hall 1444|677    |2          |8       |50         |true        |
|Hall 1444|677    |8          |1       |10         |true        |
|Hall 765 |678    |20         |9       |10         |true        |
|Hall 765 |678    |13         |4       |30         |true        |
|Hall 765 |678    |10         |2       |50         |true        |
|Hall 765 |678    |4          |5       |30         |true        |
|Hall 765 |678    |9          |4       |50         |true        |
|Hall 765 |678    |19         |9       |10         |true        |
|Hall 765 |678    |14         |3       |30         |true        |
|Hall 508 |679    |17         |6       |30         |true        |
|Hall 508 |679    |2          |9       |20         |true        |
|Hall 508 |679    |3          |5       |50         |true        |
|Hall 508 |679    |5          |9       |20         |true        |
|Hall 508 |679    |3          |9       |20         |true        |
|Hall 508 |679    |5          |3       |30         |true        |
|Hall 508 |679    |16         |9       |20         |true        |
|Hall 508 |679    |8          |3       |20         |true        |
|Hall 508 |679    |5          |7       |30         |true        |
|Hall 1218|680    |18         |10      |30         |true        |
|Hall 1218|680    |19         |1       |50         |true        |
|Hall 1218|680    |2          |3       |30         |true        |
|Hall 1218|680    |8          |7       |30         |true        |
|Hall 1218|680    |19         |3       |10         |true        |
|Hall 1218|680    |18         |1       |50         |true        |
|Hall 1218|680    |9          |6       |30         |true        |
|Hall 1218|680    |18         |3       |30         |true        |
|Hall 1218|680    |17         |2       |50         |true        |
|Hall 1218|680    |4          |7       |10         |true        |
|Hall 1218|680    |6          |2       |50         |true        |
|Hall 1218|680    |1          |6       |30         |true        |
|Hall 1218|680    |10         |7       |50         |true        |
|Hall 990 |681    |1          |10      |30         |true        |
|Hall 990 |681    |7          |5       |30         |true        |
|Hall 990 |681    |10         |2       |30         |true        |
|Hall 990 |681    |8          |7       |20         |true        |
|Hall 990 |681    |8          |6       |50         |true        |
|Hall 990 |681    |5          |9       |30         |true        |
|Hall 258 |682    |15         |1       |20         |true        |
|Hall 258 |682    |11         |1       |20         |true        |
|Hall 258 |682    |15         |9       |20         |true        |
|Hall 258 |682    |5          |8       |20         |true        |
|Hall 1905|683    |8          |1       |10         |true        |
|Hall 1905|683    |19         |9       |10         |true        |
|Hall 1905|683    |8          |8       |30         |true        |
|Hall 1905|683    |12         |7       |30         |true        |
|Hall 1905|683    |20         |9       |20         |true        |
|Hall 1905|683    |3          |8       |50         |true        |
|Hall 1905|683    |16         |8       |20         |true        |
|Hall 856 |684    |16         |9       |50         |true        |
|Hall 856 |684    |8          |1       |30         |true        |
|Hall 856 |684    |2          |7       |30         |true        |
|Hall 856 |684    |6          |8       |20         |true        |
|Hall 1825|685    |10         |3       |50         |true        |
|Hall 1825|685    |20         |8       |10         |true        |
|Hall 1825|685    |20         |4       |30         |true        |
|Hall 1825|685    |1          |3       |20         |true        |
|Hall 1825|685    |10         |10      |50         |true        |
|Hall 1825|685    |6          |3       |10         |true        |
|Hall 747 |686    |20         |7       |20         |true        |
|Hall 747 |686    |8          |4       |30         |true        |
|Hall 747 |686    |20         |3       |20         |true        |
|Hall 747 |686    |3          |4       |20         |true        |
|Hall 747 |686    |14         |5       |30         |true        |
|Hall 221 |687    |6          |9       |50         |true        |
|Hall 221 |687    |7          |2       |20         |true        |
|Hall 221 |687    |1          |3       |20         |true        |
|Hall 221 |687    |3          |7       |50         |true        |
|Hall 221 |687    |4          |2       |30         |true        |
|Hall 221 |687    |19         |10      |10         |true        |
|Hall 27  |688    |17         |2       |50         |true        |
|Hall 27  |688    |13         |3       |10         |true        |
|Hall 27  |688    |20         |10      |50         |true        |
|Hall 27  |688    |18         |4       |20         |true        |
|Hall 27  |688    |10         |1       |20         |true        |
|Hall 27  |688    |20         |2       |50         |true        |
|Hall 567 |689    |1          |6       |10         |true        |
|Hall 567 |689    |4          |4       |50         |true        |
|Hall 1265|690    |16         |3       |10         |true        |
|Hall 1265|690    |9          |1       |30         |true        |
|Hall 1265|690    |20         |2       |50         |true        |
|Hall 1265|690    |14         |4       |30         |true        |
|Hall 1265|690    |9          |6       |10         |true        |
|Hall 180 |691    |14         |2       |20         |true        |
|Hall 180 |691    |19         |10      |50         |true        |
|Hall 180 |691    |18         |1       |50         |true        |
|Hall 1952|692    |3          |1       |10         |true        |
|Hall 1952|692    |16         |2       |10         |true        |
|Hall 1952|692    |13         |9       |50         |true        |
|Hall 1952|692    |1          |6       |50         |true        |
|Hall 1952|692    |8          |4       |20         |true        |
|Hall 1952|692    |3          |8       |50         |true        |
|Hall 1952|692    |14         |7       |50         |true        |
|Hall 217 |693    |17         |7       |20         |true        |
|Hall 217 |693    |2          |2       |10         |true        |
|Hall 217 |693    |13         |6       |30         |true        |
|Hall 217 |693    |8          |5       |30         |true        |
|Hall 217 |693    |16         |7       |50         |true        |
|Hall 217 |693    |5          |10      |30         |true        |
|Hall 217 |693    |15         |10      |20         |true        |
|Hall 713 |694    |2          |5       |30         |true        |
|Hall 713 |694    |5          |9       |10         |true        |
|Hall 713 |694    |17         |3       |50         |true        |
|Hall 713 |694    |18         |6       |50         |true        |
|Hall 1445|695    |9          |8       |20         |true        |
|Hall 1445|695    |3          |3       |20         |true        |
|Hall 1445|695    |2          |2       |10         |true        |
|Hall 1445|695    |19         |2       |50         |true        |
|Hall 1445|695    |3          |6       |50         |true        |
|Hall 248 |696    |13         |7       |20         |true        |
|Hall 248 |696    |14         |9       |10         |true        |
|Hall 248 |696    |15         |1       |10         |true        |
|Hall 248 |696    |17         |9       |20         |true        |
|Hall 248 |696    |12         |4       |30         |true        |
|Hall 1927|697    |6          |9       |50         |true        |
|Hall 1927|697    |4          |3       |10         |true        |
|Hall 1927|697    |3          |4       |20         |true        |
|Hall 670 |698    |16         |3       |20         |true        |
|Hall 670 |698    |9          |8       |20         |true        |
|Hall 670 |698    |19         |9       |30         |true        |
|Hall 670 |698    |16         |8       |10         |true        |
|Hall 1556|699    |12         |3       |30         |true        |
|Hall 1556|699    |3          |4       |20         |true        |
|Hall 1556|699    |17         |2       |50         |true        |
|Hall 1556|699    |4          |7       |50         |true        |
|Hall 1883|700    |20         |9       |10         |true        |
|Hall 1883|700    |3          |4       |50         |true        |
|Hall 1883|700    |14         |3       |30         |true        |
|Hall 1883|700    |18         |1       |10         |true        |
|Hall 1883|700    |2          |5       |50         |true        |
|Hall 1112|701    |9          |8       |20         |true        |
|Hall 1112|701    |16         |9       |20         |true        |
|Hall 1112|701    |18         |8       |30         |true        |
|Hall 850 |702    |1          |9       |30         |true        |
|Hall 850 |702    |15         |3       |10         |true        |
|Hall 850 |702    |8          |4       |30         |true        |
|Hall 850 |702    |17         |7       |20         |true        |
|Hall 850 |702    |20         |10      |20         |true        |
|Hall 850 |702    |2          |1       |30         |true        |
|Hall 850 |702    |14         |9       |10         |true        |
|Hall 215 |703    |4          |1       |10         |true        |
|Hall 215 |703    |10         |5       |30         |true        |
|Hall 215 |703    |7          |8       |20         |true        |
|Hall 215 |703    |20         |3       |10         |true        |
|Hall 1411|704    |20         |10      |20         |true        |
|Hall 1411|704    |13         |1       |10         |true        |
|Hall 1411|704    |17         |6       |50         |true        |
|Hall 1411|704    |19         |4       |10         |true        |
|Hall 1145|705    |13         |1       |20         |true        |
|Hall 1145|705    |14         |6       |20         |true        |
|Hall 1145|705    |16         |9       |50         |true        |
|Hall 461 |706    |9          |6       |20         |true        |
|Hall 461 |706    |6          |2       |10         |true        |
|Hall 461 |706    |18         |10      |10         |true        |
|Hall 461 |706    |1          |6       |20         |true        |
|Hall 461 |706    |13         |5       |50         |true        |
|Hall 461 |706    |13         |3       |20         |true        |
|Hall 461 |706    |5          |4       |50         |true        |
|Hall 461 |706    |15         |1       |30         |true        |
|Hall 461 |706    |7          |4       |10         |true        |
|Hall 646 |707    |20         |10      |30         |true        |
|Hall 646 |707    |1          |5       |50         |true        |
|Hall 646 |707    |10         |2       |30         |true        |
|Hall 646 |707    |20         |7       |10         |true        |
|Hall 646 |707    |7          |7       |50         |true        |
|Hall 646 |707    |11         |10      |10         |true        |
|Hall 646 |707    |6          |8       |20         |true        |
|Hall 646 |707    |1          |2       |30         |true        |
|Hall 646 |707    |15         |3       |20         |true        |
|Hall 1581|708    |14         |8       |30         |true        |
|Hall 1581|708    |11         |9       |10         |true        |
|Hall 1581|708    |3          |9       |30         |true        |
|Hall 1581|708    |6          |9       |30         |true        |
|Hall 1581|708    |4          |10      |30         |true        |
|Hall 1581|708    |5          |7       |50         |true        |
|Hall 250 |709    |19         |2       |20         |true        |
|Hall 250 |709    |16         |4       |10         |true        |
|Hall 250 |709    |10         |1       |10         |true        |
|Hall 250 |709    |10         |3       |30         |true        |
|Hall 250 |709    |7          |10      |10         |true        |
|Hall 122 |710    |10         |1       |10         |true        |
|Hall 122 |710    |19         |3       |50         |true        |
|Hall 122 |710    |16         |4       |20         |true        |
|Hall 122 |710    |8          |6       |20         |true        |
|Hall 1958|711    |10         |9       |20         |true        |
|Hall 1958|711    |5          |5       |50         |true        |
|Hall 1958|711    |10         |4       |50         |true        |
|Hall 1958|711    |5          |8       |30         |true        |
|Hall 1958|711    |6          |6       |20         |true        |
|Hall 1958|711    |2          |9       |10         |true        |
|Hall 1374|712    |11         |1       |20         |true        |
|Hall 1374|712    |14         |4       |20         |true        |
|Hall 1374|712    |11         |10      |10         |true        |
|Hall 1374|712    |20         |4       |10         |true        |
|Hall 1374|712    |11         |5       |50         |true        |
|Hall 1374|712    |4          |5       |50         |true        |
|Hall 1374|712    |16         |1       |50         |true        |
|Hall 836 |713    |4          |8       |30         |true        |
|Hall 836 |713    |1          |9       |30         |true        |
|Hall 836 |713    |5          |6       |10         |true        |
|Hall 836 |713    |20         |6       |10         |true        |
|Hall 836 |713    |1          |5       |20         |true        |
|Hall 56  |714    |11         |2       |20         |true        |
|Hall 56  |714    |10         |6       |50         |true        |
|Hall 56  |714    |4          |4       |20         |true        |
|Hall 56  |714    |8          |9       |50         |true        |
|Hall 56  |714    |20         |9       |30         |true        |
|Hall 1351|715    |18         |2       |50         |true        |
|Hall 1351|715    |10         |3       |10         |true        |
|Hall 1351|715    |17         |1       |30         |true        |
|Hall 1351|715    |20         |4       |20         |true        |
|Hall 300 |716    |14         |2       |50         |true        |
|Hall 300 |716    |4          |8       |50         |true        |
|Hall 202 |717    |12         |2       |10         |true        |
|Hall 202 |717    |20         |2       |30         |true        |
|Hall 202 |717    |15         |7       |20         |true        |
|Hall 202 |717    |15         |2       |50         |true        |
|Hall 202 |717    |2          |8       |30         |true        |
|Hall 202 |717    |12         |7       |30         |true        |
|Hall 202 |717    |19         |4       |30         |true        |
|Hall 202 |717    |6          |8       |20         |true        |
|Hall 553 |718    |14         |2       |30         |true        |
|Hall 553 |718    |7          |9       |20         |true        |
|Hall 553 |718    |5          |7       |20         |true        |
|Hall 553 |718    |4          |8       |10         |true        |
|Hall 553 |718    |12         |7       |20         |true        |
|Hall 553 |718    |10         |7       |10         |true        |
|Hall 1258|719    |14         |8       |30         |true        |
|Hall 1258|719    |6          |8       |10         |true        |
|Hall 1258|719    |14         |1       |10         |true        |
|Hall 1258|719    |10         |10      |50         |true        |
|Hall 1258|719    |19         |1       |10         |true        |
|Hall 1258|719    |13         |9       |20         |true        |
|Hall 1258|719    |15         |8       |50         |true        |
|Hall 1258|719    |2          |7       |30         |true        |
|Hall 1258|719    |1          |7       |20         |true        |
|Hall 1258|719    |9          |2       |50         |true        |
|Hall 1258|720    |14         |8       |30         |true        |
|Hall 1258|720    |6          |8       |10         |true        |
|Hall 1258|720    |14         |1       |10         |true        |
|Hall 1258|720    |10         |10      |50         |true        |
|Hall 1258|720    |19         |1       |10         |true        |
|Hall 1258|720    |13         |9       |20         |true        |
|Hall 1258|720    |15         |8       |50         |true        |
|Hall 1258|720    |2          |7       |30         |true        |
|Hall 1258|720    |1          |7       |20         |true        |
|Hall 1258|720    |9          |2       |50         |true        |
|Hall 1005|721    |14         |4       |50         |true        |
|Hall 1005|721    |14         |1       |50         |true        |
|Hall 1005|721    |4          |1       |30         |true        |
|Hall 1005|721    |4          |2       |30         |true        |
|Hall 1005|721    |18         |6       |10         |true        |
|Hall 1005|721    |19         |7       |10         |true        |
|Hall 1328|722    |13         |10      |50         |true        |
|Hall 1328|722    |11         |1       |10         |true        |
|Hall 1328|722    |8          |5       |30         |true        |
|Hall 1328|722    |18         |2       |50         |true        |
|Hall 1328|722    |12         |3       |50         |true        |
|Hall 1328|722    |9          |2       |30         |true        |
|Hall 1328|722    |13         |5       |30         |true        |
|Hall 759 |723    |1          |8       |30         |true        |
|Hall 759 |723    |10         |4       |30         |true        |
|Hall 759 |723    |8          |3       |30         |true        |
|Hall 759 |723    |7          |3       |50         |true        |
|Hall 759 |723    |20         |8       |50         |true        |
|Hall 759 |723    |5          |6       |50         |true        |
|Hall 759 |723    |3          |1       |30         |true        |
|Hall 759 |723    |18         |7       |30         |true        |
|Hall 1401|724    |2          |2       |20         |true        |
|Hall 1401|724    |8          |2       |10         |true        |
|Hall 1401|724    |6          |4       |20         |true        |
|Hall 1401|724    |10         |10      |30         |true        |
|Hall 175 |725    |11         |8       |10         |true        |
|Hall 175 |725    |9          |8       |30         |true        |
|Hall 175 |725    |20         |4       |10         |true        |
|Hall 175 |725    |12         |5       |10         |true        |
|Hall 175 |725    |3          |7       |10         |true        |
|Hall 187 |726    |7          |7       |20         |true        |
|Hall 187 |726    |1          |4       |10         |true        |
|Hall 187 |726    |10         |7       |20         |true        |
|Hall 423 |727    |9          |2       |10         |true        |
|Hall 1649|728    |11         |2       |50         |true        |
|Hall 1649|728    |6          |7       |30         |true        |
|Hall 1649|728    |19         |7       |10         |true        |
|Hall 1649|728    |2          |7       |10         |true        |
|Hall 1649|728    |9          |5       |20         |true        |
|Hall 1649|728    |3          |10      |30         |true        |
|Hall 289 |729    |17         |3       |20         |true        |
|Hall 289 |729    |13         |7       |20         |true        |
|Hall 289 |729    |7          |10      |10         |true        |
|Hall 289 |729    |19         |7       |30         |true        |
|Hall 1533|730    |4          |7       |20         |true        |
|Hall 1533|730    |13         |4       |50         |true        |
|Hall 1533|730    |1          |7       |30         |true        |
|Hall 1533|730    |1          |8       |20         |true        |
|Hall 789 |731    |17         |8       |20         |true        |
|Hall 789 |731    |8          |10      |10         |true        |
|Hall 789 |731    |7          |9       |50         |true        |
|Hall 789 |731    |16         |2       |30         |true        |
|Hall 789 |731    |7          |4       |50         |true        |
|Hall 789 |731    |19         |5       |20         |true        |
|Hall 789 |731    |18         |3       |20         |true        |
|Hall 102 |732    |18         |3       |10         |true        |
|Hall 102 |732    |4          |7       |20         |true        |
|Hall 102 |732    |5          |6       |20         |true        |
|Hall 128 |733    |9          |8       |30         |true        |
|Hall 128 |733    |20         |10      |20         |true        |
|Hall 128 |733    |19         |5       |30         |true        |
|Hall 128 |733    |5          |1       |10         |true        |
|Hall 128 |733    |20         |9       |20         |true        |
|Hall 128 |733    |9          |2       |30         |true        |
|Hall 128 |733    |9          |10      |50         |true        |
|Hall 128 |733    |1          |5       |10         |true        |
|Hall 1902|734    |14         |6       |10         |true        |
|Hall 1902|734    |10         |3       |10         |true        |
|Hall 1902|734    |6          |5       |30         |true        |
|Hall 1386|735    |20         |1       |30         |true        |
|Hall 1386|735    |7          |8       |50         |true        |
|Hall 1386|735    |13         |3       |10         |true        |
|Hall 1386|735    |19         |6       |30         |true        |
|Hall 1386|735    |5          |5       |20         |true        |
|Hall 1386|735    |3          |10      |20         |true        |
|Hall 1386|735    |18         |2       |50         |true        |
|Hall 1386|735    |13         |5       |20         |true        |
|Hall 253 |736    |15         |9       |50         |true        |
|Hall 253 |736    |1          |7       |20         |true        |
|Hall 253 |736    |4          |1       |20         |true        |
|Hall 253 |736    |19         |1       |20         |true        |
|Hall 253 |736    |3          |1       |10         |true        |
|Hall 1104|737    |7          |5       |10         |true        |
|Hall 1104|737    |4          |8       |50         |true        |
|Hall 1104|737    |4          |9       |20         |true        |
|Hall 1104|737    |14         |7       |20         |true        |
|Hall 1399|738    |14         |7       |50         |true        |
|Hall 1399|738    |12         |3       |30         |true        |
|Hall 1399|738    |14         |6       |10         |true        |
|Hall 1399|738    |11         |3       |50         |true        |
|Hall 1399|738    |14         |10      |30         |true        |
|Hall 1735|739    |18         |2       |30         |true        |
|Hall 1735|739    |4          |5       |20         |true        |
|Hall 1735|739    |17         |7       |10         |true        |
|Hall 1735|739    |1          |3       |50         |true        |
|Hall 1735|739    |4          |4       |10         |true        |
|Hall 514 |740    |11         |2       |20         |true        |
|Hall 514 |740    |10         |8       |30         |true        |
|Hall 514 |740    |13         |1       |20         |true        |
|Hall 514 |740    |3          |8       |50         |true        |
|Hall 14  |741    |14         |10      |50         |true        |
|Hall 14  |741    |16         |8       |20         |true        |
|Hall 14  |741    |20         |2       |20         |true        |
|Hall 14  |741    |16         |5       |20         |true        |
|Hall 14  |741    |1          |10      |20         |true        |
|Hall 137 |742    |15         |9       |30         |true        |
|Hall 137 |742    |17         |10      |30         |true        |
|Hall 1895|743    |11         |6       |20         |true        |
|Hall 1895|743    |15         |10      |30         |true        |
|Hall 1895|743    |11         |1       |10         |true        |
|Hall 655 |744    |1          |7       |50         |true        |
|Hall 950 |745    |17         |3       |30         |true        |
|Hall 950 |745    |17         |4       |30         |true        |
|Hall 950 |745    |7          |10      |30         |true        |
|Hall 950 |745    |8          |6       |30         |true        |
|Hall 1868|746    |13         |8       |50         |true        |
|Hall 1868|746    |19         |1       |30         |true        |
|Hall 1868|746    |18         |9       |30         |true        |
|Hall 1868|746    |8          |7       |20         |true        |
|Hall 1868|746    |2          |9       |10         |true        |
|Hall 1868|746    |20         |9       |50         |true        |
|Hall 1868|746    |14         |10      |50         |true        |
|Hall 1230|747    |4          |2       |30         |true        |
|Hall 1230|747    |7          |2       |50         |true        |
|Hall 1230|747    |8          |1       |10         |true        |
|Hall 1230|747    |9          |3       |20         |true        |
|Hall 1230|747    |6          |9       |50         |true        |
|Hall 1230|747    |20         |2       |20         |true        |
|Hall 1230|747    |10         |4       |30         |true        |
|Hall 383 |748    |7          |7       |50         |true        |
|Hall 383 |748    |2          |2       |10         |true        |
|Hall 383 |748    |16         |9       |10         |true        |
|Hall 383 |748    |4          |1       |20         |true        |
|Hall 383 |748    |5          |10      |50         |true        |
|Hall 383 |748    |11         |1       |10         |true        |
|Hall 383 |748    |20         |7       |50         |true        |
|Hall 180 |749    |14         |2       |20         |true        |
|Hall 180 |749    |19         |10      |50         |true        |
|Hall 180 |749    |18         |1       |50         |true        |
|Hall 673 |750    |1          |10      |50         |true        |
|Hall 673 |750    |4          |7       |20         |true        |
|Hall 673 |750    |13         |8       |10         |true        |
|Hall 673 |750    |11         |7       |50         |true        |
|Hall 673 |750    |15         |10      |20         |true        |
|Hall 190 |751    |7          |9       |30         |true        |
|Hall 190 |751    |3          |7       |50         |true        |
|Hall 190 |751    |19         |9       |50         |true        |
|Hall 190 |751    |1          |1       |50         |true        |
|Hall 190 |751    |12         |2       |30         |true        |
|Hall 190 |751    |15         |9       |20         |true        |
|Hall 1399|752    |14         |7       |50         |true        |
|Hall 1399|752    |12         |3       |30         |true        |
|Hall 1399|752    |14         |6       |10         |true        |
|Hall 1399|752    |11         |3       |50         |true        |
|Hall 1399|752    |14         |10      |30         |true        |
|Hall 287 |753    |9          |5       |20         |true        |
|Hall 287 |753    |1          |6       |30         |true        |
|Hall 287 |753    |17         |6       |20         |true        |
|Hall 287 |753    |14         |9       |10         |true        |
|Hall 287 |753    |1          |5       |30         |true        |
|Hall 287 |753    |19         |5       |10         |true        |
|Hall 1631|754    |18         |6       |20         |true        |
|Hall 1631|754    |3          |7       |50         |true        |
|Hall 1631|754    |4          |5       |30         |true        |
|Hall 1631|754    |12         |6       |20         |true        |
|Hall 461 |755    |9          |6       |20         |true        |
|Hall 461 |755    |6          |2       |10         |true        |
|Hall 461 |755    |18         |10      |10         |true        |
|Hall 461 |755    |1          |6       |20         |true        |
|Hall 461 |755    |13         |5       |50         |true        |
|Hall 461 |755    |13         |3       |20         |true        |
|Hall 461 |755    |5          |4       |50         |true        |
|Hall 461 |755    |15         |1       |30         |true        |
|Hall 461 |755    |7          |4       |10         |true        |
|Hall 1977|756    |3          |5       |30         |true        |
|Hall 1977|756    |1          |8       |10         |true        |
|Hall 1977|756    |13         |9       |10         |true        |
|Hall 1977|756    |6          |9       |50         |true        |
|Hall 1977|756    |15         |8       |10         |true        |
|Hall 1977|756    |5          |1       |20         |true        |
|Hall 1977|756    |20         |9       |10         |true        |
|Hall 1311|757    |6          |7       |20         |true        |
|Hall 1311|757    |5          |6       |10         |true        |
|Hall 1311|757    |3          |5       |50         |true        |
|Hall 1311|757    |2          |1       |10         |true        |
|Hall 942 |758    |9          |10      |30         |true        |
|Hall 942 |758    |18         |2       |10         |true        |
|Hall 942 |758    |20         |10      |20         |true        |
|Hall 942 |758    |10         |8       |20         |true        |
|Hall 1492|759    |14         |8       |20         |true        |
|Hall 1492|759    |7          |6       |20         |true        |
|Hall 1492|759    |20         |9       |20         |true        |
|Hall 1492|759    |8          |1       |30         |true        |
|Hall 1492|759    |9          |3       |20         |true        |
|Hall 1492|759    |17         |6       |50         |true        |
|Hall 1492|759    |10         |6       |10         |true        |
|Hall 716 |760    |6          |1       |50         |true        |
|Hall 103 |761    |6          |8       |30         |true        |
|Hall 103 |761    |13         |8       |50         |true        |
|Hall 103 |761    |20         |10      |10         |true        |
|Hall 103 |761    |3          |5       |20         |true        |
|Hall 103 |761    |16         |3       |30         |true        |
|Hall 103 |761    |19         |1       |20         |true        |
|Hall 103 |761    |4          |5       |30         |true        |
|Hall 103 |761    |17         |3       |50         |true        |
|Hall 1893|762    |13         |2       |20         |true        |
|Hall 1893|762    |17         |5       |50         |true        |
|Hall 1893|762    |12         |10      |50         |true        |
|Hall 1893|762    |6          |7       |20         |true        |
|Hall 1893|762    |20         |6       |10         |true        |
|Hall 1893|762    |9          |10      |20         |true        |
|Hall 1893|762    |16         |2       |10         |true        |
|Hall 1893|762    |14         |1       |30         |true        |
|Hall 525 |763    |14         |7       |50         |true        |
|Hall 525 |763    |4          |10      |50         |true        |
|Hall 525 |763    |19         |6       |50         |true        |
|Hall 525 |763    |5          |2       |30         |true        |
|Hall 525 |763    |13         |8       |50         |true        |
|Hall 525 |763    |20         |5       |20         |true        |
|Hall 1649|764    |11         |2       |50         |true        |
|Hall 1649|764    |6          |7       |30         |true        |
|Hall 1649|764    |19         |7       |10         |true        |
|Hall 1649|764    |2          |7       |10         |true        |
|Hall 1649|764    |9          |5       |20         |true        |
|Hall 1649|764    |3          |10      |30         |true        |
|Hall 111 |765    |16         |8       |10         |true        |
|Hall 111 |765    |15         |3       |10         |true        |
|Hall 111 |765    |20         |5       |50         |true        |
|Hall 949 |766    |17         |2       |50         |true        |
|Hall 949 |766    |18         |9       |50         |true        |
|Hall 949 |766    |10         |3       |10         |true        |
|Hall 949 |766    |10         |6       |30         |true        |
|Hall 91  |767    |12         |10      |30         |true        |
|Hall 91  |767    |14         |10      |10         |true        |
|Hall 83  |768    |5          |4       |20         |true        |
|Hall 83  |768    |4          |10      |50         |true        |
|Hall 83  |768    |13         |10      |50         |true        |
|Hall 83  |768    |20         |1       |50         |true        |
|Hall 83  |768    |2          |9       |30         |true        |
|Hall 83  |768    |11         |4       |30         |true        |
|Hall 83  |768    |11         |6       |20         |true        |
|Hall 553 |769    |14         |2       |30         |true        |
|Hall 553 |769    |7          |9       |20         |true        |
|Hall 553 |769    |5          |7       |20         |true        |
|Hall 553 |769    |4          |8       |10         |true        |
|Hall 553 |769    |12         |7       |20         |true        |
|Hall 553 |769    |10         |7       |10         |true        |
|Hall 806 |770    |8          |5       |20         |true        |
|Hall 806 |770    |19         |4       |30         |true        |
|Hall 806 |770    |6          |3       |20         |true        |
|Hall 806 |770    |4          |6       |20         |true        |
|Hall 806 |770    |7          |8       |50         |true        |
|Hall 1667|771    |3          |4       |10         |true        |
|Hall 1667|771    |1          |3       |30         |true        |
|Hall 1667|771    |3          |3       |50         |true        |
|Hall 1667|771    |4          |7       |30         |true        |
|Hall 1780|772    |13         |1       |20         |true        |
|Hall 1780|772    |19         |3       |10         |true        |
|Hall 1780|772    |17         |5       |20         |true        |
|Hall 1780|772    |2          |1       |50         |true        |
|Hall 1780|772    |8          |3       |20         |true        |
|Hall 1780|772    |16         |6       |20         |true        |
|Hall 1780|772    |3          |6       |50         |true        |
|Hall 1780|772    |19         |5       |20         |true        |
|Hall 1780|772    |6          |4       |50         |true        |
|Hall 1780|772    |17         |4       |20         |true        |
|Hall 1780|772    |3          |8       |50         |true        |
|Hall 1780|772    |11         |3       |50         |true        |
|Hall 1780|772    |4          |5       |10         |true        |
|Hall 739 |773    |12         |7       |50         |true        |
|Hall 739 |773    |10         |3       |20         |true        |
|Hall 739 |773    |20         |10      |20         |true        |
|Hall 41  |774    |9          |8       |10         |true        |
|Hall 41  |774    |2          |2       |30         |true        |
|Hall 1166|775    |19         |2       |20         |true        |
|Hall 1166|775    |19         |3       |20         |true        |
|Hall 1166|775    |8          |4       |10         |true        |
|Hall 1166|775    |14         |2       |50         |true        |
|Hall 1166|775    |5          |3       |20         |true        |
|Hall 1166|775    |6          |6       |10         |true        |
|Hall 1166|775    |1          |5       |30         |true        |
|Hall 1166|775    |19         |1       |30         |true        |
|Hall 140 |776    |20         |10      |30         |true        |
|Hall 140 |776    |15         |8       |20         |true        |
|Hall 140 |776    |6          |2       |50         |true        |
|Hall 1766|777    |6          |4       |20         |true        |
|Hall 1766|777    |14         |6       |10         |true        |
|Hall 1766|777    |12         |6       |10         |true        |
|Hall 1766|777    |11         |4       |10         |true        |
|Hall 1504|778    |2          |1       |10         |true        |
|Hall 1504|778    |8          |8       |20         |true        |
|Hall 1504|778    |2          |8       |10         |true        |
|Hall 233 |779    |13         |8       |20         |true        |
|Hall 233 |779    |4          |2       |30         |true        |
|Hall 233 |779    |7          |8       |50         |true        |
|Hall 233 |779    |11         |1       |20         |true        |
|Hall 233 |779    |12         |7       |50         |true        |
|Hall 233 |779    |14         |8       |10         |true        |
|Hall 233 |779    |16         |5       |30         |true        |
|Hall 76  |780    |20         |7       |10         |true        |
|Hall 76  |780    |19         |4       |50         |true        |
|Hall 76  |780    |5          |10      |20         |true        |
|Hall 924 |781    |7          |5       |30         |true        |
